Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento
Altura_cm	Altura_cm	Area_foliar_cm2	Area_foliar_cm2	Espessura_foliar_mm	Espessura_foliar_mm	Densidade_estomatica_mm2	Densidade_estomatica_mm2	Teor_agua_%	Teor_agua_%	Biomassa_seca_mg	Biomassa_seca_mg	Compostos_fenolicos_ug_g	Compostos_fenolicos_ug_g
21,5832	12,6024	82,5792	65,8483	0,7862	0,5603	300,3621	465,3550	78,7542	65,3763	86,5240	20,3267	45,9860	129,8598
19,4139	16,8128	30,3820	90,6270	0,6032	0,9683	146,8627	356,2377	61,2973	46,6409	73,5230	26,4181	142,1660	274,0871
9,8777	23,8281	39,3063	62,6348	0,5947	1,1201	255,0339	257,5031	65,0046	65,9340	17,4789	161,3252	380,2810	121,2138
14,2344	17,8771	57,5388	19,2707	0,4824	1,1605	136,7090	290,3041	57,0199	81,9212	36,4931	32,8578	145,5857	80,3783
15,3961	18,4901	28,2606	42,1515	0,6506	0,9325	93,0374	320,2187	49,6601	73,9909	17,8966	140,9824	248,1095	220,1411
14,2272	20,5596	23,2721	81,0430	0,5843	0,7478	238,6245	235,2047	79,3770	73,3871	76,2557	4,7083	373,3820	1911,4835
10,5124	17,8492	45,1465	85,8400	0,7044	1,0165	311,1238	323,4863	80,1334	75,6440	13,2095	93,1802	72,3893	105,9288
17,7175	18,2104	48,7493	69,4971	0,8211	0,9900	215,9199	257,3512	74,1000	62,5062	11,2676	80,7249	420,0222	2276,4116
14,0806	16,3216	59,3840	51,1130	0,7332	0,7761	182,0278	268,4559	58,9734	73,3286	43,7504	775,5758	81,6618	35,8667
16,1853	14,1701	40,5144	53,8447	0,5819	0,7973	191,7915	296,9795	60,0650	62,2527	12,0206	60,6532	132,6554	159,9662
15,2655	15,2677	50,2063	50,1697	0,4071	1,0427	292,7468	210,1747	45,9168	66,8251	57,3563	25,8765	125,9206	203,8784
15,7099	21,0609	59,7776	75,1129	0,6119	1,0569	213,8431	257,0154	69,9651	73,8098	4,6042	57,6641	180,7547	256,3573
21,2408	12,1071	46,8293	46,8229	0,8433	0,9687	192,7245	407,2109	56,6123	67,4922	52,9116	18,2244	146,1753	66,7409
10,7210	14,2524	45,4262	77,0001	0,5987	0,8257	230,0350	406,8226	51,6441	60,4465	12,6979	79,0037	101,5550	710,6054
10,1086	20,9412	35,7391	36,1487	0,4338	0,5150	191,2339	322,8785	67,1441	88,0350	77,0181	33,4035	184,5887	243,4291
15,9901	21,1572	17,8975	73,6335	0,4436	0,6679	209,3388	427,4913	66,4770	69,5798	47,7876	31,4204	92,6235	360,8409
16,9310	16,1802	49,0259	67,2791	0,4931	0,8516	180,9200	266,1299	56,5024	59,2992	12,7783	40,8024	131,3155	70,0795
15,7540	14,2341	46,5504	59,8229	0,7582	0,8882	141,9361	389,8594	70,9584	76,0641	83,2639	193,6385	125,3842	43,3157
12,0854	17,1910	37,1459	85,7415	0,2934	0,3826	254,2419	208,3595	66,2713	61,9957	26,1080	50,3608	48,4393	219,7293
15,5998	10,7739	43,3406	39,4351	0,3997	0,7859	265,8006	336,6525	53,1817	65,1470	22,0391	57,0411	181,7565	49,6092
16,2879	22,9783	35,2169	103,6415	0,6239	0,8025	259,6882	262,1224	53,3153	75,6530	41,8078	245,8642	80,7543	100,1209
17,6514	18,0881	28,8164	21,3180	0,5072	0,6797	239,0948	267,0749	59,4349	88,1297	4,5274	152,6325	502,6690	515,4328
15,8188	14,9991	47,3236	47,6881	0,3734	0,7912	229,6967	299,7480	58,6860	75,7431	16,5064	65,3287	1481,0341	166,1404
17,5900	10,6495	27,7138	60,7412	0,6215	0,5727	231,1744	354,8914	64,9737	59,7619	5,1344	50,3288	122,9167	1112,1559
15,1158	19,9070	56,5940	103,0803	0,6819	0,6756	274,2624	316,3223	55,2217	66,4630	201,4282	46,7795	77,2094	552,0005
15,9441	24,4521	44,1060	37,9494	0,6964	1,0309	132,4987	247,8095	52,3476	67,4123	3,4739	13,9885	22,1813	55,1573
16,4923	19,1070	73,7146	80,8542	0,5345	0,6243	222,1433	339,2705	77,9680	71,0514	51,0181	53,8534	24,4773	105,5880
11,1504	19,6550	55,7778	91,1099	0,5583	0,8931	230,1689	324,8811	42,6295	59,9015	20,8910	78,9405	31,6137	31,4011
12,9152	19,6839	66,5268	82,7070	0,6242	1,1132	194,8341	332,6161	60,5567	68,5771	11,1854	13,5539	30,8319	218,8192
17,4505	19,9255	34,2303	56,4818	0,4389	0,8208	272,2122	246,5641	64,4354	83,6433	17,3314	1286,3751	36,2372	2683,4925
16,1470	13,1240	31,4281	97,1737	0,4132	0,7620	264,9050	264,4683	64,8596	63,3814	13,1688	34,4166	149,5067	183,7388
10,5552	16,0101	37,0476	52,2330	0,3723	0,9145	290,2271	309,6420	69,0519	79,9269	3,8978	120,7061	309,7500	248,9579
10,0672	9,9258	26,9655	80,8688	0,7477	1,0327	224,6560	348,6580	42,1488	63,2188	14,3942	20,3013	254,0989	545,3486
13,2025	6,9696	40,9471	73,6748	0,7075	0,9210	266,3271	310,5955	57,8357	86,8315	26,6839	112,9744	82,3443	153,2344
15,8866	17,8114	43,0620	24,5184	0,7417	0,2401	162,7209	292,2668	76,9143	75,1133	34,8107	129,9290	24,7074	157,8461
