Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento
Altura_cm	Altura_cm	Area_foliar_cm2	Area_foliar_cm2	Espessura_foliar_mm	Espessura_foliar_mm	Densidade_estomatica_mm2	Densidade_estomatica_mm2	Teor_agua_%	Teor_agua_%	Biomassa_seca_mg	Biomassa_seca_mg	Compostos_fenolicos_ug_g	Compostos_fenolicos_ug_g
21,5832	12,6024	82,5792	65,8483	0,7862	0,5603	300,3621	465,3550	78,7542	65,3763	1,9371	1,3081	1,6626	2,1135
19,4139	16,8128	30,3820	90,6270	0,6032	0,9683	146,8627	356,2377	61,2973	46,6409	1,8664	1,4219	2,1528	2,4379
9,8777	23,8281	39,3063	62,6348	0,5947	1,1201	255,0339	257,5031	65,0046	65,9340	1,2425	2,2077	2,5801	2,0836
14,2344	17,8771	57,5388	19,2707	0,4824	1,1605	136,7090	290,3041	57,0199	81,9212	1,5622	1,5166	2,1631	1,9051
15,3961	18,4901	28,2606	42,1515	0,6506	0,9325	93,0374	320,2187	49,6601	73,9909	1,2528	2,1492	2,3946	2,3427
14,2272	20,5596	23,2721	81,0430	0,5843	0,7478	238,6245	235,2047	79,3770	73,3871	1,8823	0,6729	2,5722	3,2814
10,5124	17,8492	45,1465	85,8400	0,7044	1,0165	311,1238	323,4863	80,1334	75,6440	1,1209	1,9693	1,8597	2,0250
17,7175	18,2104	48,7493	69,4971	0,8211	0,9900	215,9199	257,3512	74,1000	62,5062	1,0518	1,9070	2,6233	3,3573
14,0806	16,3216	59,3840	51,1130	0,7332	0,7761	182,0278	268,4559	58,9734	73,3286	1,6410	2,8896	1,9120	1,5547
16,1853	14,1701	40,5144	53,8447	0,5819	0,7973	191,7915	296,9795	60,0650	62,2527	1,0799	1,7829	2,1227	2,2040
15,2655	15,2677	50,2063	50,1697	0,4071	1,0427	292,7468	210,1747	45,9168	66,8251	1,7586	1,4129	2,1001	2,3094
15,7099	21,0609	59,7776	75,1129	0,6119	1,0569	213,8431	257,0154	69,9651	73,8098	0,6632	1,7609	2,2571	2,4088
21,2408	12,1071	46,8293	46,8229	0,8433	0,9687	192,7245	407,2109	56,6123	67,4922	1,7236	1,2607	2,1649	1,8244
10,7210	14,2524	45,4262	77,0001	0,5987	0,8257	230,0350	406,8226	51,6441	60,4465	1,1037	1,8976	2,0067	2,8516
10,1086	20,9412	35,7391	36,1487	0,4338	0,5150	191,2339	322,8785	67,1441	88,0350	1,8866	1,5238	2,2662	2,3864
15,9901	21,1572	17,8975	73,6335	0,4436	0,6679	209,3388	427,4913	66,4770	69,5798	1,6793	1,4972	1,9667	2,5573
16,9310	16,1802	49,0259	67,2791	0,4931	0,8516	180,9200	266,1299	56,5024	59,2992	1,1065	1,6107	2,1183	1,8456
15,7540	14,2341	46,5504	59,8229	0,7582	0,8882	141,9361	389,8594	70,9584	76,0641	1,9205	2,2870	2,0982	1,6366
12,0854	17,1910	37,1459	85,7415	0,2934	0,3826	254,2419	208,3595	66,2713	61,9957	1,4168	1,7021	1,6852	2,3419
15,5998	10,7739	43,3406	39,4351	0,3997	0,7859	265,8006	336,6525	53,1817	65,1470	1,3432	1,7562	2,2595	1,6956
16,2879	22,9783	35,2169	103,6415	0,6239	0,8025	259,6882	262,1224	53,3153	75,6530	1,6213	2,3907	1,9072	2,0005
17,6514	18,0881	28,8164	21,3180	0,5072	0,6797	239,0948	267,0749	59,4349	88,1297	0,6558	2,1836	2,7013	2,7122
15,8188	14,9991	47,3236	47,6881	0,3734	0,7912	229,6967	299,7480	58,6860	75,7431	1,2177	1,8151	3,1706	2,2205
17,5900	10,6495	27,7138	60,7412	0,6215	0,5727	231,1744	354,8914	64,9737	59,7619	0,7105	1,7018	2,0896	3,0462
15,1158	19,9070	56,5940	103,0803	0,6819	0,6756	274,2624	316,3223	55,2217	66,4630	2,3041	1,6701	1,8877	2,7419
15,9441	24,4521	44,1060	37,9494	0,6964	1,0309	132,4987	247,8095	52,3476	67,4123	0,5408	1,1458	1,3460	1,7416
16,4923	19,1070	73,7146	80,8542	0,5345	0,6243	222,1433	339,2705	77,9680	71,0514	1,7077	1,7312	1,3888	2,0236
11,1504	19,6550	55,7778	91,1099	0,5583	0,8931	230,1689	324,8811	42,6295	59,9015	1,3200	1,8973	1,4999	1,4969
12,9152	19,6839	66,5268	82,7070	0,6242	1,1132	194,8341	332,6161	60,5567	68,5771	1,0487	1,1321	1,4890	2,3401
17,4505	19,9255	34,2303	56,4818	0,4389	0,8208	272,2122	246,5641	64,4354	83,6433	1,2388	3,1094	1,5592	3,4287
16,1470	13,1240	31,4281	97,1737	0,4132	0,7620	264,9050	264,4683	64,8596	63,3814	1,1195	1,5368	2,1747	2,2642
10,5552	16,0101	37,0476	52,2330	0,3723	0,9145	290,2271	309,6420	69,0519	79,9269	0,5908	2,0817	2,4910	2,3961
10,0672	9,9258	26,9655	80,8688	0,7477	1,0327	224,6560	348,6580	42,1488	63,2188	1,1582	1,3075	2,4050	2,7367
13,2025	6,9696	40,9471	73,6748	0,7075	0,9210	266,3271	310,5955	57,8357	86,8315	1,4262	2,0530	1,9156	2,1854
15,8866	17,8114	43,0620	24,5184	0,7417	0,2401	162,7209	292,2668	76,9143	75,1133	1,5417	2,1137	1,3928	2,1982
14,0763	18,3198	55,9283	33,5015	0,6615	0,6678	240,7352	389,2215	72,6384	68,7931	0,7808	1,7767	1,8251	3,2937
15,9078	20,8260	43,0818	61,6497	0,6559	0,9251	198,8705	297,1354	65,2289	79,1725	1,0598	1,0793	1,7905	1,8491
16,8869	8,0571	49,8204	24,6740	0,5753	0,5931	227,8482	289,8715	35,9412	62,0848	1,1783	1,4061	2,4528	2,5087
18,7309	11,5589	45,1892	47,8053	0,5513	0,5278	260,9002	240,9933	69,7667	65,9731	1,3935	1,6049	1,9943	1,5204
16,4990	21,0633	43,0682	55,8948	0,5948	0,9168	319,2381	360,1486	69,7946	73,0517	1,1379	2,4479	1,9170	2,2406
19,2927	14,3889	49,9916	49,4891	0,5764	0,5827	292,0572	321,9973	51,7262	68,7975	1,1462	2,4870	1,5488	2,3941
15,1431	22,6978	28,4481	79,1841	0,6529	0,6329	165,4517	308,2555	65,1162	79,8246	1,3735	1,4715	2,3714	2,2842
13,0741	15,0561	57,7569	88,3491	0,4801	0,7283	226,2492	246,5923	61,4102	45,6959	0,6945	1,2892	2,5519	2,1985
13,3385	22,9373	36,4739	59,7113	0,6271	0,8830	211,8496	349,1028	55,5722	64,7966	1,3438	2,5283	2,4848	2,5796
14,5920	17,3290	37,2333	69,1745	0,7515	0,7944	164,8799	299,9973	62,3872	58,1718	1,7262	2,2896	1,5652	2,4582
12,7547	21,6493	51,3989	68,1057	0,8403	0,5557	289,5354	251,8420	58,8621	77,6639	1,0820	1,5783	1,6573	2,3166
9,0811	13,2555	42,7541	39,4351	0,5728	0,6465	200,1592	253,3451	60,6111	66,8446	1,5516	1,3184	2,3711	1,6572
18,2285	14,8744	18,7588	50,4778	0,8262	0,6157	131,7233	165,8956	62,5564	58,0194	1,2625	1,4986	2,3406	2,0873
12,6914	18,1224	19,0408	49,7921	0,5345	1,2688	241,1129	348,7398	51,5395	61,9973	1,1064	1,5239	2,2274	1,4526
11,7440	16,8046	54,6591	21,0243	0,4772	1,1807	188,7523	304,2576	65,6274	71,0147	1,5513	1,6480	2,1402	2,3474
14,6402	14,8646	37,6446	40,2112	0,4531	0,9965	207,2839	309,2553	59,9329	60,4161	0,8481	2,3919	2,2130	1,5756
18,0425	18,8718	21,1133	78,8193	0,6249	0,2884	132,8582	336,9513	72,5959	78,9350	2,1852	1,9071	2,4011	1,6182
18,2306	10,1721	34,4636	62,6839	0,5955	0,8842	188,3852	405,8682	68,2109	78,0161	1,2692	0,8580	2,1020	2,0189
17,3061	17,9076	56,2161	84,0795	0,4863	0,9226	180,9489	366,6284	46,8109	52,1114	1,9239	1,3909	1,8380	2,3961
15,8431	19,9734	44,0605	35,3477	0,7427	0,7354	233,7853	284,0968	74,2300	63,1855	0,9525	1,9604	2,6549	2,4509
14,9725	22,2225	43,0818	73,6247	0,6994	0,7404	227,1038	251,9114	48,1794	70,1072	1,7659	2,3138	1,6534	2,5563
12,5284	18,4462	46,6209	70,7242	0,5276	0,8358	101,9458	128,6991	58,1827	67,7401	2,1483	1,2132	1,9419	1,7968
19,7004	16,1109	18,3248	53,1923	0,7015	0,9350	255,4352	295,0069	55,5126	76,7200	1,2745	1,4176	2,4955	2,9253
