Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois
Altura_cm	Altura_cm	Area_foliar_cm2	Area_foliar_cm2	Espessura_foliar_mm	Espessura_foliar_mm	Densidade_estomatica_mm2	Densidade_estomatica_mm2	Teor_agua_%	Teor_agua_%	Biomassa_seca_mg	Biomassa_seca_mg	Compostos_fenolicos_ug_g	Compostos_fenolicos_ug_g
10,0108	11,7574	3,6974	4,8818	0,7146	0,9532	127,6588	145,9157	62,3618	63,6657	7,5124	16,5902	114,6239	259,0834
20,4368	23,6014	31,9225	37,4710	0,4862	0,5860	258,5071	238,5178	57,6566	67,1748	6,2237	11,5443	328,8178	365,5802
12,3771	12,1978	54,1708	62,5649	0,7461	0,7466	161,5659	199,3373	78,1064	84,2226	344,4408	611,7347	228,8122	237,1166
13,3244	15,7917	24,7716	42,6174	0,5552	0,5774	151,8523	154,0291	58,5156	60,5708	61,1582	66,2706	218,9698	352,1333
22,1969	23,4572	42,6128	64,9730	0,6022	0,7067	156,4584	187,3512	64,9144	76,3469	72,8589	121,2831	45,7068	98,5343
11,4691	13,2697	40,3221	55,3740	0,7970	0,9486	202,4991	228,0386	55,9984	62,1478	7,8433	15,1635	27,3097	44,1092
9,3122	9,2286	31,3599	52,6659	0,6394	0,8064	189,9365	240,1212	47,3807	53,3519	6,6109	12,6491	119,0823	488,0967
13,1270	13,7992	45,5194	58,2819	0,5627	0,6788	203,1199	220,1134	65,5406	68,9168	5,5209	12,1413	30,1472	76,5858
16,4575	19,8947	59,8864	72,3175	0,8221	0,9986	247,3181	301,7032	62,8704	78,5500	86,1938	118,5936	107,7666	173,2282
15,1814	16,2867	27,4090	41,9341	0,4389	0,6556	262,1677	337,7307	66,3182	70,9885	9,8805	16,3579	26,3480	66,6915
19,7709	21,7261	73,0144	87,2403	0,6086	0,7198	242,1977	230,4716	55,6186	64,2419	7,9538	8,4700	102,8368	161,8436
17,8068	19,0580	28,8341	55,8183	0,7507	0,7338	223,8451	264,7821	68,0964	73,9218	38,6028	41,9006	89,0125	132,5431
13,2174	18,8394	39,3826	53,4527	0,6347	0,6170	214,0662	198,3907	64,5158	69,1456	8,9657	18,5845	206,3079	393,1742
17,6191	18,5862	47,5761	62,3926	0,6358	0,8810	193,2580	225,0670	71,9757	77,2805	35,1988	69,0143	97,8002	133,1565
14,8889	15,2344	48,1768	75,1666	0,6488	0,9739	196,1023	196,6488	57,3612	74,4634	139,3506	150,6779	99,9300	157,0799
12,4934	13,9234	58,5373	68,2117	0,8974	1,0189	127,1408	146,9564	67,4271	78,2579	9,3857	12,7425	99,7100	173,8433
14,5142	16,7058	37,7309	46,3133	0,4751	0,6178	282,2166	269,1306	68,0771	70,1791	38,6012	67,8878	401,0234	685,0003
14,4146	16,7374	36,8127	62,0344	0,4743	0,5358	230,3650	284,5868	78,4976	78,5590	18,7320	23,2124	30,1428	50,3578
14,3367	16,2437	43,8440	47,4171	0,5804	0,6265	185,1878	234,0557	51,8922	59,7223	152,4771	217,3789	278,5035	804,6843
14,1720	17,6150	48,0559	53,5880	0,5831	0,7775	212,8865	201,1947	62,1134	56,6614	50,3873	114,3471	283,9162	396,4278
17,4475	18,2965	78,4495	102,6153	0,6734	0,7729	243,1711	276,4606	53,4726	64,8001	22,7908	49,3777	194,3332	420,1931
13,1235	16,8522	12,9148	25,1366	0,4825	0,5205	270,4357	320,5399	44,4141	49,0076	51,9379	134,2618	47,0510	177,4777
14,5000	15,4627	17,0937	42,3874	0,3543	0,5032	252,2637	282,3013	69,5535	83,1931	59,2378	83,1461	200,4140	634,6014
15,9387	16,8898	39,8635	52,6635	0,7077	0,8579	307,7126	304,5373	53,9174	59,7568	27,7408	34,3741	99,2912	103,4264
16,7458	20,9224	23,8808	31,5253	0,5638	0,6633	102,7095	98,7828	52,0838	57,1507	63,5604	199,9142	94,3767	174,3413
19,9192	21,1211	36,4917	56,6451	0,6119	0,7566	233,4382	251,5148	54,9655	59,2802	27,0340	37,6170	54,7631	107,5214
16,5076	18,4903	68,3758	81,9953	0,9147	0,9912	211,1314	278,8913	56,8096	70,7881	55,0849	115,1398	35,1042	55,5120
15,9019	18,4204	61,4053	65,0163	0,1991	0,3542	296,5427	322,8467	55,2032	64,8646	4,0828	11,0506	29,8905	37,8656
17,8196	19,8044	60,1709	78,4758	0,8044	0,8686	285,2687	239,1275	70,3590	84,6240	13,8799	24,4534	20,7569	35,7601
14,0478	17,2190	39,5280	49,3911	0,7101	0,9313	220,4455	260,9981	41,0761	40,9459	125,6384	296,2948	71,4058	99,5985
16,9922	16,7570	61,6334	72,6261	0,7206	0,9665	321,7731	408,6223	59,5805	61,3950	37,8294	55,4374	69,9324	121,3192
14,4157	17,7750	44,5896	57,1778	0,6639	0,6643	194,4389	267,8270	54,2890	59,4760	21,5976	34,5963	252,0817	588,1954
14,2816	16,9213	39,5245	46,3813	0,4513	0,4227	255,6053	283,7990	69,4647	78,9481	39,7663	61,1098	38,8465	61,2012
16,0572	18,8227	48,6644	69,2135	0,7953	0,9316	241,3032	238,8013	54,4705	55,1873	45,4654	89,1938	38,0309	59,3104
19,7609	22,2366	54,4970	66,3604	0,6863	0,8202	268,3402	283,8591	81,4034	89,8033	52,4547	84,0952	173,9459	211,0701
