Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois
Altura_cm	Altura_cm	Area_foliar_cm2	Area_foliar_cm2	Espessura_foliar_mm	Espessura_foliar_mm	Densidade_estomatica_mm2	Densidade_estomatica_mm2	Teor_agua_%	Teor_agua_%	Biomassa_seca_mg	Biomassa_seca_mg	Compostos_fenolicos_ug_g	Compostos_fenolicos_ug_g
10,0108	11,7574	3,6974	4,8818	0,7146	0,9532	127,6588	145,9157	62,3618	63,6657	0,8758	1,2199	2,0593	2,4134
20,4368	23,6014	31,9225	37,4710	0,4862	0,5860	258,5071	238,5178	57,6566	67,1748	0,7940	1,0624	2,5170	2,5630
12,3771	12,1978	54,1708	62,5649	0,7461	0,7466	161,5659	199,3373	78,1064	84,2226	2,5371	2,7866	2,3595	2,3750
13,3244	15,7917	24,7716	42,6174	0,5552	0,5774	151,8523	154,0291	58,5156	60,5708	1,7865	1,8213	2,3404	2,5467
22,1969	23,4572	42,6128	64,9730	0,6022	0,7067	156,4584	187,3512	64,9144	76,3469	1,8625	2,0838	1,6600	1,9936
11,4691	13,2697	40,3221	55,3740	0,7970	0,9486	202,4991	228,0386	55,9984	62,1478	0,8945	1,1808	1,4363	1,6445
9,3122	9,2286	31,3599	52,6659	0,6394	0,8064	189,9365	240,1212	47,3807	53,3519	0,8203	1,1021	2,0758	2,6885
13,1270	13,7992	45,5194	58,2819	0,5627	0,6788	203,1199	220,1134	65,5406	68,9168	0,7420	1,0843	1,4792	1,8841
16,4575	19,8947	59,8864	72,3175	0,8221	0,9986	247,3181	301,7032	62,8704	78,5500	1,9355	2,0741	2,0325	2,2386
15,1814	16,2867	27,4090	41,9341	0,4389	0,6556	262,1677	337,7307	66,3182	70,9885	0,9948	1,2137	1,4207	1,8241
19,7709	21,7261	73,0144	87,2403	0,6086	0,7198	242,1977	230,4716	55,6186	64,2419	0,9006	0,9279	2,0121	2,2091
17,8068	19,0580	28,8341	55,8183	0,7507	0,7338	223,8451	264,7821	68,0964	73,9218	1,5866	1,6222	1,9495	2,1224
13,2174	18,8394	39,3826	53,4527	0,6347	0,6170	214,0662	198,3907	64,5158	69,1456	0,9526	1,2692	2,3145	2,5946
17,6191	18,5862	47,5761	62,3926	0,6358	0,8810	193,2580	225,0670	71,9757	77,2805	1,5465	1,8389	1,9903	2,1244
