Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois
Altura_cm	Altura_cm	Area_foliar_cm2	Area_foliar_cm2	Espessura_foliar_mm	Espessura_foliar_mm	Densidade_estomatica_mm2	Densidade_estomatica_mm2	Teor_agua_%	Teor_agua_%	Biomassa_seca_mg	Biomassa_seca_mg	Compostos_fenolicos_ug_g	Compostos_fenolicos_ug_g
10,0108	11,7574	3,6974	4,8818	0,7146	0,9532	127,6588	145,9157	0,9103	0,9238	0,8758	1,2199	2,0593	2,4134
20,4368	23,6014	31,9225	37,4710	0,4862	0,5860	258,5071	238,5178	0,8623	0,9607	0,7940	1,0624	2,5170	2,5630
12,3771	12,1978	54,1708	62,5649	0,7461	0,7466	161,5659	199,3373	1,0839	1,1623	2,5371	2,7866	2,3595	2,3750
13,3244	15,7917	24,7716	42,6174	0,5552	0,5774	151,8523	154,0291	0,8710	0,8919	1,7865	1,8213	2,3404	2,5467
22,1969	23,4572	42,6128	64,9730	0,6022	0,7067	156,4584	187,3512	0,9368	1,0629	1,8625	2,0838	1,6600	1,9936
11,4691	13,2697	40,3221	55,3740	0,7970	0,9486	202,4991	228,0386	0,8455	0,9081	0,8945	1,1808	1,4363	1,6445
9,3122	9,2286	31,3599	52,6659	0,6394	0,8064	189,9365	240,1212	0,7592	0,8189	0,8203	1,1021	2,0758	2,6885
13,1270	13,7992	45,5194	58,2819	0,5627	0,6788	203,1199	220,1134	0,9434	0,9794	0,7420	1,0843	1,4792	1,8841
16,4575	19,8947	59,8864	72,3175	0,8221	0,9986	247,3181	301,7032	0,9156	1,0893	1,9355	2,0741	2,0325	2,2386
15,1814	16,2867	27,4090	41,9341	0,4389	0,6556	262,1677	337,7307	0,9516	1,0020	0,9948	1,2137	1,4207	1,8241
19,7709	21,7261	73,0144	87,2403	0,6086	0,7198	242,1977	230,4716	0,8417	0,9298	0,9006	0,9279	2,0121	2,2091
17,8068	19,0580	28,8341	55,8183	0,7507	0,7338	223,8451	264,7821	0,9706	1,0348	1,5866	1,6222	1,9495	2,1224
13,2174	18,8394	39,3826	53,4527	0,6347	0,6170	214,0662	198,3907	0,9327	0,9819	0,9526	1,2692	2,3145	2,5946
17,6191	18,5862	47,5761	62,3926	0,6358	0,8810	193,2580	225,0670	1,0129	1,0740	1,5465	1,8389	1,9903	2,1244
14,8889	15,2344	48,1768	75,1666	0,6488	0,9739	196,1023	196,6488	0,8593	1,0410	2,1441	2,1780	1,9997	2,1961
12,4934	13,9234	58,5373	68,2117	0,8974	1,0189	127,1408	146,9564	0,9634	1,0857	0,9725	1,1053	1,9987	2,2402
14,5142	16,7058	37,7309	46,3133	0,4751	0,6178	282,2166	269,1306	0,9704	0,9931	1,5866	1,8318	2,6032	2,8357
14,4146	16,7374	36,8127	62,0344	0,4743	0,5358	230,3650	284,5868	1,0886	1,0894	1,2726	1,3657	1,4792	1,7021
