Amostra	Comprimento_folha_mm	Largura_folha_mm	Area_foliar_cm2	Espessura_foliar_um	Massa_seca_mg	Massa_fresca_mg	SLA_mm2_mg	LDMC_mg_g	Epiderme_adaxial_um	Epiderme_abaxial_um	Cuticula_adaxial_um	Cuticula_abaxial_um	Palisada_um	Esponjoso_um	Mesofilo_um	Camadas_palisada_n	Camadas_esponjoso_n	Estomatos_abaxial_mm2	Estomatos_adaxial_mm2	Comprimento_estomato_um	Largura_estomato_um	Indice_estomatico_pct	Tricomas_mm2	Comprimento_tricoma_um	Densidade_veias_mm_mm2	Diametro_veia_maior_um	Diametro_veia_menor_um	Espacos_intercelulares_pct	Clorofila_SPAD	Fotossintese_umol_m2_s
Folha_01	104,0	52,7	34,0	245,0	119,6	352,9	28,4	338,8	17,2	14,7	2,8	2,3	86,0	122,0	208,0	2	4	206,7	38,3	25,2	14,6	13,8	37,4	176,8	6,1	356,4	71,3	26,6	45,0	16,7
Folha_02	104,7	49,9	32,4	233,3	114,3	352,3	28,3	324,4	17,0	14,0	2,7	2,1	83,6	113,9	197,6	2	4	207,2	32,7	25,3	14,0	13,2	31,7	172,0	5,7	354,7	66,9	27,0	42,6	16,2
Folha_03	101,1	45,8	28,7	219,8	104,9	334,5	27,4	313,6	16,2	13,2	2,4	1,8	77,6	108,5	186,1	2	4	193,3	26,6	24,6	13,4	12,2	23,7	156,1	5,4	337,0	61,4	26,0	40,6	15,2
Folha_04	95,4	43,2	25,6	213,3	97,6	311,5	26,2	313,5	15,2	13,0	2,2	1,7	71,8	109,3	181,1	2	4	174,0	24,0	23,5	13,2	11,4	18,4	139,6	5,4	314,7	58,1	24,5	40,1	14,4
Folha_05	91,5	43,7	24,8	217,9	97,1	299,6	25,5	324,1	14,8	13,4	2,2	1,8	70,1	115,7	185,8	2	4	161,8	26,6	22,7	13,5	11,3	19,4	133,0	5,6	302,4	59,4	23,2	41,5	14,4
Folha_06	91,8	47,0	26,7	230,7	103,5	305,8	25,8	338,6	15,1	14,2	2,3	2,0	73,5	123,6	197,1	2	4	164,8	32,8	22,8	14,2	12,0	26,0	140,8	6,0	308,0	64,3	23,1	43,9	15,0
Folha_07	96,1	50,9	30,4	243,4	112,9	324,8	26,9	347,5	16,0	14,9	2,6	2,2	79,8	127,9	207,7	2	4	180,9	38,4	23,6	14,7	13,0	33,9	157,8	6,2	328,0	69,7	24,3	45,7	16,0
Folha_08	101,7	53,0	33,4	247,7	119,2	345,4	28,0	345,0	16,9	15,0	2,8	2,3	85,0	125,7	210,7	2	4	199,7	39,9	24,7	14,8	13,7	37,9	173,0	6,2	349,2	72,0	25,9	45,8	16,6
Folha_09	104,9	51,8	33,7	240,8	118,1	355,0	28,5	332,8	17,2	14,4	2,8	2,2	85,6	118,5	204,2	2	4	208,9	36,2	25,4	14,4	13,6	35,5	176,5	5,9	358,0	69,8	26,9	44,0	16,5
Folha_10	103,6	48,1	30,9	227,2	110,4	346,4	28,0	318,7	16,7	13,6	2,6	1,9	81,3	111,0	192,3	2	4	202,6	29,8	25,1	13,7	12,8	28,2	166,0	5,6	348,6	64,5	26,7	41,6	15,8
