	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
Comprimento_folha_mm	-0,14702437595900036	0,34273994890319515	0,15062438500044956	0,12802095123311702	0,26051972622932607	-0,26371293418369474	-0,19800910310794032	-0,2188750168668131	0,025093103265781902	-0,03283480088845581	0,0389888465789853	0,13491487460529644	0,04719210293366463	-0,0134146375363107	0,09616448892431201	0,006829842860215196	-0,2470006185315469	-0,3549776360629271	-0,03991390282396366	-0,11055261572669567	0,5159264927247703	0,05660538860350657	0,22581449049151076	0,06682733202450032	0,1572567363098898	0,045465164447029555	0,0862595976176523	-0,0014610704468452855	-0,06527245732600144	0,0
Largura_folha_mm	-0,14871870641349383	0,28085457076974096	0,2726291878625629	0,22625693283826073	-0,34779497956068317	-0,3049399395666432	-0,27971527940618673	-0,2664928104280221	0,09680436325409694	-0,08706463749274256	-0,06799780902974353	-0,027735034222393276	0,1214508757619341	0,027855153869360227	0,026894306793707495	0,1357068943348669	0,1869458954376718	0,08828711091350687	-0,267221603221788	-0,1461430180893206	-0,42239338684370725	-0,14910635898634167	-0,01740831537202648	-0,09003929514599181	-0,052503991768513114	0,031089941252796374	-0,03132090391750657	-0,04402789679913354	0,045336433174442296	6,47877432982114e-14
Area_foliar_cm2	-0,1514641674680438	0,29523453811940376	0,262508715439014	0,17367921712775294	-0,1014212795806521	-0,23213762858300963	0,7823709416858167	0,3034567232445578	-0,10460887900909091	0,06766325683013233	-0,019260383116281848	0,04939084747314093	0,008211685832320454	0,0032916580589085415	-0,048494349988270624	0,008843984911569623	-0,034369316381673884	-0,008667340892883141	0,009335647139911533	0,012149699741534004	-0,008821274417643722	-0,0030795692949923898	-0,0026404994429810097	0,0037197196398583406	9,052677640311868e-05	7,784223066878749e-05	-0,00313826915472279	0,0025132756931136994	0,0002892159510340788	-3,569978430523924e-15
Espessura_foliar_um	0,201360890591461	-0,05205270689120142	0,09716130478743631	0,05942917952549727	-0,0626660163507542	0,001947552500183136	0,01776273962860067	-0,009903608799132251	0,019806596341570098	-0,10513739710017647	-0,05644372659834797	0,002770690959474564	0,03665996385350368	0,03394814905824619	-0,04440075314013179	-0,09904456670530981	0,06199535944074713	0,018733937360882674	-0,011445822849775456	0,015679164717365694	-0,027308920395048016	-0,07734042657810421	0,06694368793822929	-0,07748599853957683	0,244315607939447	0,1713532720875523	0,07174617707259383	0,801339034770864	-0,3903618933390461	-1,1618153217937043e-12
Massa_seca_mg	0,14598287550689423	0,29143181491166414	0,30428140973558293	-0,2020526076225073	-0,09940736656417481	0,09183050432814906	-0,42751384435739315	0,7026960222167979	-0,10494500374258241	0,06223529709889988	0,16039468549462146	0,12265674171324384	0,022405893029166537	-0,0013177929847540872	-0,0714641595743553	0,02401818663421836	-0,05628362492061247	0,014220072679086973	0,002340988790696566	-0,007610543663061685	0,0005666465661889108	0,00841984410749593	-0,009480273191242483	0,003126107348902396	0,0019043647958140843	-0,004026580452694533	-0,0005679461817954647	-0,0024368834162938574	0,0019008113724819026	3,516846978443444e-15
Massa_fresca_mg	-0,11080061277205247	0,3354931409596029	0,3918476121116109	-0,24410085574108742	0,026716461030593067	0,7221296133098262	0,1313189565624406	-0,3205977040688906	0,019653541445666646	-0,04182460261186786	-0,06734208440438834	-0,09173871001763256	-0,00852818093240991	-0,024831917701544193	0,029858489752011903	-0,0023099153008647334	0,05371260228278264	-0,008202621314194957	-0,0006405659135854814	0,011626274788270002	0,0036356586778980163	-0,004428136163343126	0,0030275467409402504	-0,0005306315963276259	-0,0022021409128030987	0,003980283847102994	0,0008905019174425889	0,000745386521355073	-0,0005885580759077443	-1,0640877870117731e-15
SLA_mm2_mg	-0,19964556802860847	0,0679697390428399	0,032385300242975236	0,2593111032714444	-0,03689268680946954	0,026280771386055942	-0,1348331983544211	-0,0013089227246997279	0,06427555620179883	-0,021263802463556716	0,08002537312199319	-0,12349515713347149	0,17855100966877446	0,08075383197090398	0,06974434355391622	-0,13057899980183854	-0,18037569721050625	-0,2206828967749916	0,4971158428951353	0,6130265917754015	-0,25383031560287284	-0,01768125975718332	-0,03365919971467485	0,09136647480316316	-0,031122879297734916	0,0001297878552075861	-0,0025782957380990137	0,03267471743948309	-0,0036859024754489086	-4,740062144880128e-14
LDMC_mg_g	0,20124244843172998	-0,07679539514951186	0,05748812174287173	0,005508182450492474	-0,11407734844312574	0,018233989955126255	0,04391633337336068	0,0061616666196128485	0,006971326053213693	-0,0730551558481476	-0,06320930639848109	-0,01145089174844738	0,03516192447661012	0,04258877411257064	-0,049705118750954624	-0,10524582903064589	0,08214252658122546	0,04760140239100037	0,036227647397988234	0,039549235463676856	-0,021653786239050787	-0,15559571383586784	0,12906734104795106	0,28408629475023034	0,2973297769401675	0,5685240576840837	0,4938518714089318	-0,34037856495321134	0,059517407403272334	4,85405755843654e-13
Epiderme_adaxial_um	0,19783807859490912	-0,05579444762119287	0,13995998961659373	0,1509864010680105	0,1554596021588526	0,04929882921594904	0,038485071474342825	-0,00012779680075769107	0,12621177801151373	-0,18826972385097263	0,028708112956370248	0,14176957057094436	-0,19198709099798827	0,5478271935343174	0,22691277645743255	0,5413577326298329	-0,20190966744251262	0,26460934712460993	-0,0021142560765143917	0,14332300566301126	0,025525152433688348	0,0013526771200223567	0,00038816643495440887	-0,01112982133557287	-0,01783137657032262	0,01909880238054793	-0,015568153183023306	-0,019828781454463366	0,00510125232008165	2,913048180066419e-14
Epiderme_abaxial_um	0,2000091624424531	-0,049900152026461635	0,10804734744753033	0,09009794650613145	-0,17688992887043117	-0,02191590670251842	-0,017896902549180648	-0,09922099003636559	-0,04838557147656801	-0,09265096812948871	-0,04405138121459229	-0,07973653154103572	-0,4482629957411749	-0,5284748309665379	-0,3400347448142421	0,4149921651709234	-0,22291468751692686	-0,1791611147436385	0,06859880747098465	0,1316981130704657	-0,028819440047623338	0,05315856278900639	-0,014803365669418773	0,021856490293347804	0,003551721586635414	0,007067001992312947	0,007562137751387113	0,003889981803429854	0,01263832380530681	-5,6400958457432366e-15
Cuticula_adaxial_um	0,1960767058251735	-0,061005413731724266	0,18930485610664102	0,009215093141161835	0,04302604915987383	-0,10902805766910725	0,05075468129406743	-0,11835432300847899	-0,2127698404524414	0,07823290035733839	0,7065991118072003	-0,4782006011613402	-0,1314557563662451	-0,01858395006184227	0,2737342826056727	-0,07693002117425501	0,07982497080681816	-0,01315380602384822	-0,08101238883724572	-0,007459079508387091	0,003129058946870868	-0,009576031451263125	-0,0001691941901639847	-0,015128686455826467	-0,0037121208394303696	0,011552971775857714	-0,0011138643043460963	-0,009530053163096104	-0,005594299672809302	1,3859375985378781e-14
Cuticula_abaxial_um	0,19778387077553486	-0,051406069926773934	0,16901708074028093	0,007256369930151927	-0,07485729995755562	-0,042663551228150444	-0,021178701390168846	-0,06959941783495036	0,36280986355647693	0,8252549164152196	-0,18530248640603703	-0,1548812623269223	-0,05492922019789801	0,1353731989097247	-0,026299415349901867	-0,017996123838220683	-0,14257449447781614	-0,03629666995639116	0,011688712651652732	-0,024816501267351666	0,018271839815031603	0,023451073655000543	0,0032876911585258475	-0,002633879856811386	0,0005012509792791698	-0,00482416379847938	0,005969880891861261	0,013008399582467812	-0,003901822078900009	-1,8970786951568803e-14
Palisada_um	0,2007867469541425	-0,042496383692662315	0,11466061510364436	0,07103270045321837	0,09212904023404957	-0,002283912037925822	0,02043230825121227	-0,014990570400727956	0,04017723071776276	-0,09751715994197173	-0,028045978965919476	0,03709328079317206	0,02776847039486188	0,02501105634190501	-0,05952331639771604	-0,11306281360053015	-0,035199905742077486	-0,12003942480637077	0,017356530967554934	-0,17793023973317457	0,013502766418178573	-0,3195995283447252	0,005730281275117357	0,5887686887093426	-0,5901551179141189	0,055058770024634884	-0,15820683691845663	0,1487994006092227	0,06663335806946069	-2,1050192351304073e-13
Esponjoso_um	0,19999253874624318	-0,06253181449555367	0,05728727439999348	0,03257599218644169	-0,2807033960375586	0,009529358035147107	0,021043972508914592	-0,0008038164188289017	0,01037939412574327	-0,1010456740720615	-0,08274681094279565	-0,06912767842012142	0,08358558421704461	0,04536429237534127	-0,07243361071265066	-0,1017148737030458	0,15185262215589707	0,07192362412399113	-0,033958757738358124	0,2604867444500397	0,2520441768477632	0,015105581955613982	0,7024939763310697	-0,23932936847672573	-0,27132430159610504	-0,1312259747353747	-0,07700380508103412	-0,12317339523051624	-0,046178296122567825	1,7807597080132906e-13
Mesofilo_um	0,20162723911891706	-0,05163806636524203	0,08955981921085081	0,054380398099552044	-0,07361089547629551	0,005010690481046963	0,02086802178863986	-0,013689444746062165	0,019975732754457683	-0,08662859493469136	-0,061397718986537814	-0,00798847451906346	0,045617456522057946	0,03297813544341808	-0,023400320245569713	-0,09405912795053821	0,06446921848513255	-0,016094399955047887	-0,03194617655199802	0,05463666920627727	0,047952263397164324	-0,20972467585309365	0,04191011796495216	0,2853375501454926	0,607268921671493	-0,39695223482653624	-0,37860458088456483	-0,015148842268504303	0,3279307605654644	3,087588950190138e-14
Camadas_palisada_n	0,19114702114665325	0,11016761738917823	0,12409271132865388	-0,3556033918540823	0,09624455326622147	-0,29404516516945284	0,01962636616267051	-0,186985825276851	-0,03758956699577018	-0,025260269275749345	-0,05429879271270042	0,15712745373413495	-0,03728754176347188	-0,01620906358252425	0,0031238310835948304	-0,06791388464527469	0,12250735273021186	0,1265201509202003	0,23654515832177103	0,11342363913163322	-0,062491683113200976	0,09271595051694169	-0,07200557257904672	0,0354718174579015	-0,034311997088331825	-0,11805305698802784	0,05320681684659016	-0,03366764762642023	-0,06766324295522881	0,7071067811865934
Camadas_esponjoso_n	0,19114702114665325	0,11016761738917823	0,12409271132865388	-0,3556033918540823	0,09624455326622147	-0,29404516516945284	0,01962636616267051	-0,186985825276851	-0,03758956699577018	-0,02526026927574936	-0,05429879271270049	0,15712745373413498	-0,03728754176347209	-0,016209063582524292	0,0031238310835951634	-0,06791388464527474	0,12250735273021186	0,12652015092020047	0,23654515832177114	0,11342363913163328	-0,06249168311320045	0,0927159505169417	-0,07200557257904677	0,03547181745790136	-0,03431199708833217	-0,11805305698802011	0,05320681684656291	-0,033667647628461195	-0,0676632429552116	-0,7071067811865016
Estomatos_abaxial_mm2	0,18439028484370412	0,19334375154990135	-0,10722838422172319	0,006798142450017705	0,34159274093397773	-0,005215517562802404	0,021908371911973767	-0,013868649280351359	-0,06970325363655037	-0,020304601441051767	-0,08183601589845622	-0,016787653057274858	-0,09226819799631528	-0,07143537181778223	-0,017109908716221367	-0,268531676760103	-0,3958364067088761	0,12423163622467293	-0,16309877714138613	-0,007491581148114957	-0,4084762336530208	0,04790023319379559	0,2519702508479276	-0,10136997527763905	0,07303390516842097	0,2636307985795894	-0,3900505476733818	-0,14184081526370654	-0,11241929815656909	2,121125762091677e-13
Estomatos_adaxial_mm2	0,16863938722117278	0,2702622264793116	-0,1738648456020215	0,03712994133170205	-0,13745272739023745	-0,033957729080224826	-0,032559059257190166	-0,0549927964682997	-0,10123246431363357	-0,03063629339650165	-0,15682338709853103	-0,1609926012115099	0,024869566326791943	-0,03334791073274214	0,024181977499563426	-0,17111470689011563	-0,19054332517768105	0,24346685814210184	-0,33808800042227505	0,38529541185935223	0,3549236798586411	-0,22264500068768123	-0,4465025921856898	-0,05139821992487224	-0,09928063195204537	0,0019188845326011056	0,048475029052813576	-0,01911053289381941	-0,03200264624419447	2,6379421759003587e-14
Comprimento_estomato_um	0,1956818523790852	0,02967892770782846	0,043535216664720454	0,2568876287872757	0,4201656946883261	0,06113987528946823	0,0012559010279168225	-0,01898719556280362	-0,08888567046765546	0,17132763459117978	0,048499198388917975	-0,003463456157002701	0,5806438286151204	-0,29940530274074406	-0,17441828928972702	0,3303375343055871	0,21778872679809685	0,21426687124804367	-0,013806963553558291	0,10257049241396321	0,020104958998980262	0,03746993735104653	-0,003501792500949532	0,0047580786262061085	-0,002969103402195357	0,014918135316728316	0,004514309017038336	-0,011277838243070801	0,008532923071822844	1,6442660426072075e-14
Largura_estomato_um	0,18004237530510836	0,15776854387357	-0,21968755456745032	0,24997673175865723	-0,27812939521436963	0,19003834503022637	0,001810051207023523	-0,25114978255154774	-0,38171715120830574	0,2717736298229177	0,290535817083896	0,546531626617547	-0,053001387990459024	0,13738276052693726	-0,1142094279996761	-0,06979579992162858	-0,014047758517704453	-0,0071872951580559796	0,08954936191203314	-0,05476310878222332	-0,032997909890959444	0,017865000458400074	-0,00024682173651586765	0,005474633374312071	-0,005708810789580982	-0,01867377960612295	-0,003644312766592952	0,00418594369736616	0,0006268703823818895	-6,0592341172947984e-15
