	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
Comprimento_folha_mm	2,161616712613348	2,211725363730297	2,294139402678762	4,054620825978632	2,1310999941261377	1,2276775790662313	3,9858352833465727	4,0498523050797495	3,9139905342125436	4,000366506093158	3,8446074567251625	3,9118459538953467	4,0315317752426845	3,999701555416757	4,065354355471695	3,6537183693239097	3,6537183693239097	3,399977714474234	2,8439242922332646	3,8291387350510084	3,2415256905505485	3,431685668445427	3,635742530122639	3,604021339599965	2,665391930136838	4,065500878012973	4,02905643908002	3,675132311302185	3,371280860454187	1,0162192682118203
Largura_folha_mm	11,747067257416484	7,887928992225544	8,716343249857768	0,2709484294701328	8,493250274270649	11,255564763094	0,4619885425551755	0,5897532716169671	0,31130203853540356	0,24900251722639838	0,3721660504578852	0,2642584025316372	0,18059426269539758	0,39102278241063376	0,26664898979411406	1,2136903921208366	1,2136903921208366	3,7381806263389987	7,3041671061554725	0,0880838749886508	2,4890913435986586	3,3471229952890367	1,3578433400660002	1,9906420719906521	6,278572620791049	0,006274336409282858	0,06388204871851608	0,19921203910454216	3,4808444056741417	15,770862582475132
Area_foliar_cm2	2,2687705356763668	7,432667407460067	6,891082568144127	0,9440319147997102	9,258717631067377	15,35445511175716	0,10488076718276526	0,33048841415232444	1,9588798693477036	1,1674229290447349	3,5836328545556095	2,8566773581966665	1,3147056655946088	0,3281831808180151	0,8020961217080288	1,5399001004896635	1,5399001004896635	1,1497926382801504	3,02289845362148	0,1895315090044155	4,8262621631826494	2,452008743224359	4,29676996449476	2,6023465973289115	7,307466499998361	0,47150587688899726	0,6964227518288947	2,0292533257628533	2,763596042131727	10,515652903767842
Espessura_foliar_um	1,6389363954632128	5,119219965737723	3,016447046210915	0,3531827379073784	4,0825256247054895	5,958522777353117	6,724224827985371	0,003034007390791328	2,2796893307470123	0,8117639964621726	0,008491794160028788	0,005265490456321308	0,5045644533676649	0,10611952669311098	0,29572276974657635	12,645377229812802	12,645377229812802	0,004621474077073272	0,1378632543295636	6,599125382394917	6,248836642073967	2,9244845396378434	0,5682269944443608	4,198330947885494	0,539518807072644	0,9948526815860601	4,238257393335144	16,844973510284987	0,46353625254635644	0,03890691631909922
Massa_seca_mg	6,7870527754603005	12,096134780761602	1,02862759517768	0,3927029605272992	0,9881824527224222	0,0713769289999198	0,1361070340021608	1,3013641427814324	2,416768790338873	3,12900469357862	0,18512409063078797	0,5603615356935457	0,8487760054447124	7,879439654701848	0,5418563932822102	0,9263014033414542	0,9263014033414542	11,668560065878761	1,8893252267014933	17,653921099292365	7,735596048231101	1,2234557668580308	0,194669288039715	0,7740738357641553	1,2966825944910085	4,913751420539299	1,1728560056550807	2,6979625540237686	6,172215793008491	2,391447660730406
Massa_fresca_mg	6,9544511655773675	9,298836674290795	5,388787860414329	0,00037929607409695817	0,8432841525162197	52,14711784189987	0,06906789446461363	0,033247838968364495	0,2430374562063309	0,04803069665934915	1,188711735909817	0,1820178603397016	0,0005216254196982478	0,009080866456202269	0,0025107019096854625	8,646255915953075	8,646255915953075	0,002720162344790031	0,11531273642859459	0,3738084350411725	3,611457258182735	0,5055637268230808	0,08482290246157602	0,7783594258836062	0,19195468002576255	0,0480853367850219	0,325277087192764	0,13345529649143498	0,08069074169396473	0,046896711632907345
SLA_mm2_mg	3,920760491361092	7,824063753328107	61,210429039435134	0,031551491911346055	18,27680871172373	1,7244668352648156	1,8179991378482654	0,1928644336960152	0,14811007263852752	0,03202991208548686	0,2576037673262357	0,04485373925739396	0,041747922047255685	0,044284877895595286	0,04354743333711477	0,038519424875121784	0,038519424875121784	0,04799767598333608	0,10600923397132203	0,00015772873919225308	0,00032762853720473106	0,0030775683584939673	0,008184683925605382	0,062028370574763105	2,091232034793954	0,05936880395644657	0,0028796949947692448	1,8850512525703096	0,0010242999548724957	0,0445005547333705
LDMC_mg_g	4,790627300844766	7,101841800982562	9,208598288232402	0,009808146724624961	49,37816996393099	10,278288785424381	0,00017132786992353572	0,003796613553125118	1,6332022283900963e-06	0,9844804863796545	1,400774577479536	0,4844078962963999	0,022471720093918082	6,461208351789195e-05	0,018740089745548878	3,4963698854465006	3,4963698854465006	0,019233943286139	0,3024207663403832	0,03605135953401491	6,307621327568963	2,072620272971813	0,10422298503696194	0,15405568569762887	0,04061913742353953	0,0004976506727883585	0,02431186809156099	0,15622692992317977	0,003297824623746928	0,10383723509268968
Epiderme_adaxial_um	0,06296638315071941	0,9371084745031152	1,0943017567538615	0,03923012586378978	1,101345381053063	0,03862616913565364	0,4131347125050598	0,004859938694021598	1,5929412908827614	0,2341163527114071	4,5271005006157345	13,163099709386936	0,16142098681483388	0,010773182241751385	0,03990298990775133	0,1412975546929494	0,1412975546929494	0,4858543567521271	1,024801183101109	0,7900662414484634	14,570798352658448	0,0008084381884224974	0,4630017098278099	0,503659716543474	54,28619153981708	0,007534229120419219	0,04251582893114089	3,0082529910346003	0,9890337506357613	0,12395859833477862
Epiderme_abaxial_um	0,10781241493845395	0,758025110174268	0,45783163248604536	1,1053872269000207	0,38732322049883394	0,17492973836406653	0,0452149295209161	0,5337055795997139	3,544548891892153	0,8584201895331539	0,6120386698321242	68,10456770674918	0,9509596483148104	1,021022824867729	0,7504513460358839	0,06380812038833669	0,06380812038833676	0,041227683967996184	0,09385824730765314	2,9353158374608848	7,386090586712436	0,9354104821991015	1,673934891478231	1,4959845717200428	1,9950901362140248	0,8240814184819084	2,225022318824322	0,004586172396539436	0,7543660058835558	0,09517627686928487
Cuticula_adaxial_um	0,15201301575596546	0,4623702032845474	0,037096235778595506	0,3185894272309056	2,572645513491855	0,4534956331927765	0,6404060343314233	0,3995416415377065	0,08241557495157137	0,19405241869133355	49,92823048067246	3,4337011468259555	0,07865769361567981	0,6847034721202769	0,3769679896749868	0,294835889005681	0,2948358890056817	0,6697133498132384	2,459357474105572	0,23521722443676252	8,44110610086071	5,91334239076855	0,09321671292685396	0,0491611351326611	17,06635555907883	0,1874384331359571	1,212570798318779	0,15379602877671655	2,9163636755619837	0,19780285791598926
Cuticula_abaxial_um	1,8202023389762871	0,07692321233173267	0,24394558141150735	0,0007676728392914087	1,5044676287709422	0,8415990915699282	1,5251053835420825	0,013112292183466037	2,0098611139869984	0,6357914462194588	22,86758149510673	2,3988205419980932	0,13759114800011082	0,47786359237557247	0,0063815725141726206	2,4689036716972734	2,4689036716972748	0,028182529517143003	2,5918617644848276	0,0011995528551479928	29,869681889322198	1,1816970764533663	0,4186538507594791	0,13877487160460464	2,2657754878563594	0,15965041236304486	0,39415794763751594	0,012419198641654593	8,494933895356779	14,945190067926962
Palisada_um	0,22270945793015978	1,4750315223340753	0,006743178420873247	0,13439529497401964	0,05020240424344536	0,0072729870015919955	3,188046305373879	0,12363609328988337	3,685904310986983	20,093971335085257	1,7280615881821588	0,3017219231549167	0,07710879480703206	0,6986549888904657	0,2080952339541847	0,13903607707626597	0,13903607707626756	0,8513420361487238	0,06184953292827037	33,714725570882536	0,2809147128915174	7,369004977673555	0,5642115169917747	0,1803251910246326	0,8969549716544182	0,028964901437665575	0,7177421709612504	16,563067935420367	3,8763373804788186	2,6149315287249997
Esponjoso_um	0,017995250023059586	0,07759095970857334	0,0010835012776777538	0,11524768244809006	0,00017365783506670846	0,06166241367362632	0,6521181377984988	0,18138036804115656	30,011463397568615	27,92856469651106	0,034536319990104695	1,8325902983051874	0,06255529393379464	0,20579190227154445	0,10875574173244268	0,026273374222231367	0,026273374222231503	0,5103012346744792	0,11120831502389372	8,964353530927651	1,8874022890001774	4,935704325975735	0,5520156883442053	0,12560282625152017	2,927963391601914	0,012517201776433888	0,6050746602398897	1,3805298003987352	1,0573272057297751	15,58594316049263
Mesofilo_um	0,9247608930074129	0,07233037379140615	0,23517019807848838	0,19714268794109238	0,5107126103668921	0,08915294102710003	0,4864273457766697	0,24705988300465026	5,148940811962078	11,562362768088681	7,49304574736423	0,06916592477466543	0,3543025194982613	0,5246627960871822	0,054757498759522	0,0009758320638833258	0,0009758320638835338	0,0292748976277428	0,0584768035789392	3,042173963875492	1,3043793444013203	36,37381775226267	0,4640746926760381	0,5208501108154062	0,015160019805124688	0,14969379440228728	0,11864281439529115	1,7271023220169484	8,427459028334964	19,79694779215168
Camadas_palisada_n	0,004664675349523251	1,8416361170014734	0,007821606911607116	0,9809826193842566	0,057687328919614554	0,0005335708697169013	1,7050875189248553	1,1076684528347946	29,30681946781137	17,2218497153251	0,5918228157871327	0,03238604732005748	1,278319981926823	1,034591553242656	0,884711955081572	0,4612295727611678	0,4612295727611686	7,210926142359245	2,928024291409019	10,912288657109496	0,48714536867000097	0,28130116633022106	1,2045891770094512	1,7525194861775562	5,50884806733243e-06	4,2022731214995614	2,5899442475256267	9,457173294093877	0,8111344820316899	1,1836324847232986
Camadas_esponjoso_n	6,100930555496676	3,4948767820992916	0,11812499085435971	0,38434245921874355	0,316784643420419	0,28850436439883875	3,2535392144176236	0,6747394673147333	4,076751380674605	4,969095791076916	0,6372025964309374	2,032748647560483	0,12390333642511397	2,305921885562164	0,4156280132083758	1,5008051472964552	1,5008051472964552	15,66864608761948	3,630675876976751	4,743192952033608	0,019733951937173803	18,408982743343543	2,1630262920112022	0,13889942433330163	0,015776965802636794	2,8951013146929907	0,01751977753403535	3,530585865485123	6,792458833475489	9,780695492002463
Estomatos_abaxial_mm2	12,600912210482404	0,779461395345387	0,007512279815344438	0,03509604090414759	0,020221046699851593	0,006728299642408545	4,870094092900163	0,22658935095899377	7,0018106585712365	3,2098705036183226	0,01730226129130259	0,13174482499231896	1,4409463507844353	0,5173007707129162	0,025902970991304564	1,6007348588870276	1,6007348588870318	1,5433499439059477	5,927611101358639	4,591029211442576	0,005165721168901497	6,254417232145515	4,360515814367023	4,493639340658275	0,001383777206812113	1,0246647401300588	1,0438969067247064	27,819985475515242	4,848250045619632	3,9931279142720877
Estomatos_adaxial_mm2	0,15931196386408128	7,1407385228422635	0,008715430752093831	0,013100686070844183	0,0005480228518166965	4,10324689647602e-05	24,71241612573406	0,13124424359929626	0,0004470078757078025	0,47057963864412156	0,6563007145117089	0,013662600345290654	0,030124916722769315	0,11531972271324967	0,10205581962914276	5,595361192547167	5,5953611925471725	2,660121110501551	11,430349602953216	0,019063224256928683	0,8019088218852284	0,024430912196740668	4,563579689991597	0,2593241975671805	0,03978565503854471	0,36616607949405106	5,545802287649708	4,732326062802103	23,76089830857552	1,0509152133678816
Comprimento_estomato_um	1,2221880844014428	2,135778173625547	0,01476152038094313	0,0245836206234285	0,005792037484736832	0,013517026545236257	37,58016022237645	0,15641420257613536	2,054148395227954	1,7344392986321153	0,005563786711244015	0,06158587351524663	3,1659170211504946	6,785334403418024	0,29851656219561645	1,2864921913862948	1,2864921913862961	0,005612378809879136	14,845255439986774	1,0520705914042876	0,29989980834936225	1,1992806854568212	0,6392528038436464	3,0188099006948907	0,0026981747973377117	0,3649731002265646	0,0007188772803982073	0,5836930149830583	19,66425605259459	0,49179455993518223
Largura_estomato_um	26,618014589528254	17,841617324929775	0,007781488235137561	0,07457771331430697	3,210883309736837e-05	0,0013218014022175156	6,442982911905403	0,04688864584865053	0,06515334067630263	0,0830560124658556	0,0009791009892992626	0,03338601302261742	0,0182324700943891	6,352626708286654	0,2299419564911026	0,39052104583207287	0,39052104583206626	16,685283345935726	12,597081852439917	0,04042093763506775	0,10888620571718793	0,42456009508215364	4,534231799390187	0,3959793119148244	0,0131205369971937	3,1264896796079653	0,30899651134314543	2,6540445916313082	0,4442203860556686	0,06905046856244483
Indice_estomatico_pct	0,32041700189539885	2,223270629016377	0,0009483747042659915	0,5981541583283122	0,007089377479453386	0,0019608389881107164	0,03126269466009901	2,4210026164093255	0,00018297353910319756	0,2825832797792732	0,009170037835558045	0,054995285557226	10,214385851817072	0,022817860621777052	4,398443966168516	0,8596247480259974	0,8596247480259975	0,22944323400199948	4,9570796331217535	0,14039962050913504	0,03191582413786346	0,453767473608206	0,7527233634676795	7,053947624514032	0,03956235927260077	0,39748973010465416	63,028320062803054	0,4217469623073915	0,1782959023805433	0,0093737669192328
Tricomas_mm2	5,099218411594056	0,030304944409193322	0,0006972237308383018	0,4481457354771023	0,008987557978059087	0,0009166039268577925	0,11329417254323666	1,6658378525188102	1,5067318122521522e-05	0,021913963514252618	2,8626673985246592e-06	0,0010808913153849023	0,0032836123491960583	49,34977867814372	0,17564579878362044	0,5184802482436361	0,5184802482436369	6,348900731236753	19,936456482854027	0,0012262550719706368	6,092096961670836e-06	0,07776495285679183	10,047989659877729	3,5600081224132554	0,009938259626712565	0,12016236424319587	1,8276733121756767	0,0030881885468179962	0,10100127304652144	0,009700433196460091
Comprimento_tricoma_um	0,4465892305512806	0,8107074670387024	0,0013836314199147863	0,6004079969675302	0,0009772547156861567	2,815698910212045e-05	0,8347832717957049	8,070502286491475	0,012387292296177306	0,047770616794320674	0,022887715387870718	0,0006937323100116768	34,66485688045188	5,727854661546836	8,141751752303152	0,12582498337666853	0,12582498337666756	1,0275871887789152	0,2641777011445534	0,0022639312213159407	0,0029971610583131576	0,0332950470100922	16,480563365126166	3,866563478480817	0,0014966219777749134	10,875662999607938	7,581148836846712	0,1879480022474201	0,039448044151102375	0,0016157085359135963
