Componente	Eigenvalue	%Variance
PC1	24,550597909595776	79,78944320618623
PC2	3,6198377265208674	11,764472611192813
PC3	1,884016785020073	6,123054551315234
PC4	0,41563594125263803	1,3508168090710728
PC5	0,2906876939825374	0,9447350054432461
PC6	0,004700022421965965	0,015275072871389375
PC7	0,002001912514461093	0,006506215671998548
PC8	0,0006222623567393833	0,0020223526594029947
PC9	0,0004109442797863706	0,0013355689093057037
PC10	0,00021405543729718002	0,0006956801712158346
PC11	0,0001636929941511347	0,0005320022309911875
PC12	0,0001315225729999322	0,0004274483622497793
PC13	6,663980583120001e-05	0,0002165793689513999
PC14	5,40445626260415e-05	0,00017564482853463478
PC15	3,402307431506854e-05	0,00011057499152397268
PC16	1,7732211981989998e-05	5,762968894146745e-05
PC17	1,5108541802672966e-05	4,9102760858687115e-05
PC18	8,8235863097791e-06	2,8676655506782058e-05
PC19	6,597056825128617e-06	2,144043468166799e-05
PC20	3,7336068127525874e-06	1,2134222141445903e-05
PC21	1,4012466214386841e-06	4,554051519675721e-06
PC22	9,912789689125021e-07	3,2216566489656297e-06
PC23	6,672092953805625e-07	2,1684302099868265e-06
PC24	2,177536088729898e-07	7,076992288372164e-07
PC25	1,4408987398878908e-07	4,6829209046356417e-07
PC26	8,197273442444415e-08	2,6641138687944335e-07
PC27	4,4924472536432335e-08	1,46004535743405e-07
PC28	3,45130572772568e-08	1,1216743615108453e-07
PC29	1,4846357822087057e-08	4,825066292178291e-08
PC30	1,32438309020112e-31	4,304245043153637e-31

